Item,ID_Calle,Nombre_Calle,ID_Calle_Origen,ID_Calle_Final,ID_Origen_intereccion,ID_Final_Interseccion,distancia_Km,velocidad,Costo1,Costo2,Latitud_Origen_Interseccion,Longitud_Origen_Interseccion,Latitud_Destino_Interseccion,Longitud_Destino_Interseccion
558,4831299,Av. Las Palmeras,1305826205,1305826436,48237,48151,0.0808437,60,0.0013474,1000000,-11.9821913,-77.0723564,-11.9829182,-77.0723421
559,4831299,Av. Las Palmeras,1305826436,1305826306,48151,48214,0.0353069,60,0.0005884,1000000,-11.9829182,-77.0723421,-11.9832356,-77.0723331
560,4831299,Av. Las Palmeras,1305826306,1305826158,48214,48220,0.0433715,60,0.0007229,1000000,-11.9832356,-77.0723331,-11.9836255,-77.0723221
561,4831299,Av. Las Palmeras,1305826158,675130104,48220,2664,0.0109204,60,0.000182,1000000,-11.9836255,-77.0723221,-11.9837237,-77.0723207
562,4831299,Av. Las Palmeras,675130104,273427295,2664,47783,0.0155067,60,0.0002584,1000000,-11.9837237,-77.0723207,-11.9838612,-77.0722969
563,4831299,Av. Las Palmeras,273427295,31069277,47783,12379,0.0427827,60,0.000713,1000000,-11.9838612,-77.0722969,-11.9842254,-77.0721701
564,4831299,Av. Las Palmeras,31069277,1305826289,12379,48185,0.098693,60,0.0016449,1000000,-11.9842254,-77.0721701,-11.985103,-77.0722023
565,4831299,Av. Las Palmeras,1305826289,1758976985,48185,81739,0.054953,60,0.0009159,1000000,-11.985103,-77.0722023,-11.9855882,-77.0722983
566,4831299,Av. Las Palmeras,1758976985,1758976990,81739,81740,0.0504513,60,0.0008409,1000000,-11.9855882,-77.0722983,-11.9860339,-77.0723849
567,4831299,Av. Las Palmeras,1758976990,842950253,81740,16364,0.0924766,60,0.0015413,1000000,-11.9860339,-77.0723849,-11.9868572,-77.0724026
568,4831299,Av. Las Palmeras,842950253,843006237,16364,16434,0.1488349,60,0.0024806,1000000,-11.9868572,-77.0724026,-11.9881812,-77.0722017
569,4831299,Av. Las Palmeras,843006237,843016790,16434,16462,0.1142663,60,0.0019044,1000000,-11.9881812,-77.0722017,-11.9892008,-77.0720707
570,4831299,Av. Las Palmeras,843016790,843016815,16462,16467,0.0492138,60,0.0008202,1000000,-11.9892008,-77.0720707,-11.9896373,-77.0719959
571,4831299,Av. Las Palmeras,843016815,843019866,16467,12374,0.1526387,60,0.002544,1000000,-11.9896373,-77.0719959,-11.9909946,-77.0717862
572,4831299,Av. Las Palmeras,843019866,273428191,12374,91065,0.0112649,60,0.0001877,1000000,-11.9909946,-77.0717862,-11.9910959,-77.071785
573,4831299,Av. Las Palmeras,273428191,769214423,91065,112,0.0200866,60,0.0003348,1000000,-11.9910959,-77.071785,-11.9912739,-77.0717535
576,4831340,Av. Los Dominicos,31069517,1359117002,117,55433,0.0502971,60,0.0008383,1000000,-12.0109233,-77.0965156,-12.0105396,-77.0967605
577,4831340,Av. Los Dominicos,1359117002,31069529,55433,55724,0.051827,60,0.0008638,1000000,-12.0105396,-77.0967605,-12.0101442,-77.0970128
578,4831340,Av. Los Dominicos,31069529,1359116929,55724,54923,0.1029936,60,0.0017166,1000000,-12.0101442,-77.0970128,-12.0093114,-77.0974273
579,4831340,Av. Los Dominicos,1359116929,31069530,54923,55784,0.2305176,60,0.003842,1000000,-12.0093114,-77.0974273,-12.0074505,-77.0983614
580,4831340,Av. Los Dominicos,31069530,1359116797,55784,54637,0.0385797,60,0.000643,1000000,-12.0074505,-77.0983614,-12.0071481,-77.0985353
581,4831340,Av. Los Dominicos,1359116797,31069520,54637,55697,0.0157149,60,0.0002619,1000000,-12.0071481,-77.0985353,-12.0070249,-77.0986061
582,4831340,Av. Los Dominicos,31069520,273431237,55697,2729,0.0572433,60,0.0009541,1000000,-12.0070249,-77.0986061,-12.0065544,-77.0988197
583,4831340,Av. Los Dominicos,273431237,1359116725,2729,54605,0.0228617,60,0.000381,1000000,-12.0065544,-77.0988197,-12.006372,-77.0989167
584,4831340,Av. Los Dominicos,1359116725,1359116655,54605,55663,0.1030121,60,0.0017169,1000000,-12.006372,-77.0989167,-12.0055598,-77.0993705
